"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.826808000E0,1.164428558E0,-1.802297104E1,-9.606722717E0,2.045660041E1
2.836786000E0,2.963836670E0,-1.683743637E1,-5.512137451E0,1.796294104E1
2.846765000E0,4.229305115E0,-1.710118790E1,-6.917265472E0,1.892580806E1
2.856743000E0,5.517226868E0,-1.982866608E1,-9.304351501E0,2.258731386E1
2.866722000E0,6.585255890E0,-2.355935806E1,-1.023870850E1,2.651867454E1
2.876700000E0,6.732399902E0,-2.602278534E1,-9.574539642E0,2.853388117E1
2.886679000E0,6.094576263E0,-2.693274307E1,-7.451055450E0,2.860130655E1
2.896658000E0,5.148244171E0,-2.779135757E1,-5.749543762E0,2.884304470E1
2.906636000E0,4.558171234E0,-2.852333542E1,-4.833149414E0,2.928680457E1
2.916615000E0,4.325854340E0,-2.812246902E1,-3.902684326E0,2.871963135E1
2.926593000E0,4.298760681E0,-2.569676331E1,-2.908451843E0,2.621568385E1
2.936572000E0,4.309089203E0,-2.175366302E1,-2.040856018E0,2.227005160E1
2.946550000E0,4.017645264E0,-1.788226364E1,-1.666185150E0,1.840361376E1
2.956529000E0,3.424129486E0,-1.444615906E1,-1.848206635E0,1.496101741E1
2.966507000E0,2.951861572E0,-1.177466446E1,-2.237097931E0,1.234345239E1
2.976486000E0,2.543510742E0,-9.530381470E0,-2.837200012E0,1.026388434E1
2.986465000E0,1.973196716E0,-7.015311584E0,-2.707868958E0,7.774358893E0
2.996443000E0,1.187330933E0,-4.286486206E0,-1.865570526E0,4.823284371E0
3.006422000E0,5.716612244E-1,-1.931882629E0,-1.678609314E0,2.622345568E0
3.016400000E0,-1.841171265E-2,5.427713013E-1,-1.231489105E0,1.345921652E0
3.026379000E0,-6.027964783E-1,2.768043823E0,-9.101074219E-2,2.834380560E0
3.036357000E0,-1.189576263E0,4.146527252E0,8.497828674E-1,4.396693173E0
3.046336000E0,-1.727557526E0,4.935835876E0,1.004111938E0,5.324957426E0
3.056314000E0,-2.018253021E0,5.005141754E0,-9.879455566E-3,5.396747802E0
3.066293000E0,-1.912423096E0,4.229305115E0,-1.399140472E0,4.847883859E0
3.076272000E0,-1.646575928E0,3.225342865E0,-2.378254395E0,4.332452290E0
3.086250000E0,-1.317111053E0,2.102677460E0,-2.263592834E0,3.358554235E0
